Name,Team,Age,PA,OBP,SLG,OPS,wOBA,ISO,BB%,K%,HR,RBI,SB,Def,WAR,All_Star,Year
Bill Hall,MIL,27,503,0.315,0.425,0.74,0.321,0.17,0.08,0.254,14,63,4,5.2,1.6,0,2007
Brad Hawpe,COL,28,606,0.387,0.539,0.926,0.392,0.248,0.134,0.226,29,116,0,-26.2,1.5,0,2007
Pat Burrell,PHI,30,598,0.4,0.502,0.902,0.392,0.246,0.191,0.201,30,97,0,-26.5,1.5,0,2007
Paul Konerko,CHW,31,636,0.351,0.49,0.841,0.359,0.231,0.12300000000000001,0.16,31,90,0,-11.5,1.5,0,2007
Nate McLouth,PIT,25,382,0.351,0.459,0.81,0.353,0.201,0.102,0.20199999999999999,13,38,22,-7.8,1.5,0,2007
Mike Napoli,LAA,25,263,0.351,0.443,0.794,0.345,0.196,0.125,0.24,10,34,5,3.1,1.5,0,2007
Brian McCann,ATL,23,552,0.32,0.452,0.772,0.329,0.183,0.063,0.134,18,92,0,7.8,1.5,1,2007
Reggie Willits,LAA,26,518,0.391,0.344,0.735,0.338,0.051,0.133,0.16,0,34,27,-8.3,1.5,0,2007
Yuniesky Betancourt,SEA,25,559,0.308,0.418,0.725,0.313,0.129,0.027000000000000003,0.086,9,67,5,2.3,1.5,0,2007
Ivan Rodriguez,DET,35,515,0.294,0.42,0.714,0.308,0.139,0.017,0.18600000000000003,11,63,2,11.9,1.5,1,2007
Matt Stairs,TOR,39,405,0.368,0.549,0.917,0.388,0.261,0.109,0.163,21,64,2,-16.3,1.4,0,2007
Scott Hatteberg,CIN,37,417,0.394,0.474,0.868,0.377,0.163,0.11800000000000001,0.084,10,47,0,-10.6,1.4,0,2007
Garret Anderson,LAA,35,450,0.336,0.492,0.827,0.348,0.194,0.06,0.12,16,80,1,-7.6,1.4,0,2007
Damion Easley,NYM,37,218,0.358,0.466,0.824,0.36,0.187,0.087,0.161,10,26,0,1.0,1.4,0,2007
Willie Harris,ATL,29,391,0.349,0.392,0.741,0.33,0.122,0.102,0.182,2,32,17,2.0,1.4,0,2007
Carlos Ruiz,PHI,28,429,0.34,0.396,0.735,0.318,0.136,0.098,0.114,6,54,6,9.8,1.4,0,2007
